timestamp,value
1717181591389,31
1717181591486,31
1717181591586,31
1717181591688,31
1717181591788,31
1717181591895,31
1717181591985,31
1717181592087,31
1717181592187,32
1717181592292,36
1717181592387,44
1717181592490,55
1717181592588,66
1717181592686,80
1717181592787,84
1717181592890,85
1717181592987,85
1717181593101,85
1717181593187,84
1717181593286,78
1717181593387,62
1717181593486,50
1717181593589,42
1717181593687,33
1717181593787,28
1717181593888,29
1717181593986,35
1717181594088,43
1717181594186,54
1717181594287,65
1717181594393,78
1717181594494,83
1717181594600,84
1717181594690,85
1717181594787,85
1717181594886,83
1717181594988,68
1717181595087,57
1717181595189,46
1717181595287,38
1717181595388,29
1717181595488,24
1717181595587,21
1717181595692,19
1717181595789,19
1717181595885,23
1717181595987,31
1717181596087,38
1717181596188,47
1717181596284,56
1717181596388,61
1717181596487,59
1717181596585,54
1717181596686,45
1717181596786,38
1717181596889,35
1717181596990,36
1717181597086,42
1717181597187,50
1717181597287,58
1717181597387,66
1717181597487,74
1717181597588,82
1717181597688,83
1717181597788,83
1717181597889,84
1717181597987,83
1717181598086,76
1717181598187,64
1717181598288,54
1717181598388,46
1717181598487,40
1717181598589,34
1717181598687,27
1717181598787,23
1717181598888,20
1717181598987,19
1717181599088,23
1717181599186,28
1717181599286,33
1717181599387,37
1717181599487,41
1717181599586,44
1717181599688,45
1717181599787,45
1717181599889,45
1717181599990,45
1717181600087,45
1717181600187,44
1717181600287,45
1717181600386,45
1717181600488,44
1717181600588,45
1717181600688,44
1717181600787,45
1717181600886,46
1717181600989,49
1717181601087,53
1717181601187,58
1717181601285,63
1717181601388,68
1717181601488,71
1717181601586,72
1717181601688,72
1717181601787,70
1717181601886,66
1717181601985,61
1717181602088,56
1717181602187,51
1717181602286,46
1717181602387,45
1717181602485,45
1717181602586,45
1717181602687,48
1717181602788,53
1717181602889,58
1717181602991,63
1717181603086,68
1717181603188,70
1717181603297,71
1717181603412,74
1717181603498,74
1717181603586,74
1717181603689,69
1717181603786,62
1717181603887,55
1717181603986,50
1717181604088,47
1717181604189,46
1717181604290,46
1717181604387,46
1717181604485,48
1717181604588,52
1717181604689,57
1717181604787,63
1717181604886,70
1717181604987,74
1717181605088,73
1717181605189,68
1717181605288,60
1717181605395,54
1717181605488,47
1717181605588,41
1717181605687,35
1717181605787,34
1717181605887,36
1717181605988,40
1717181606086,47
1717181606189,56
1717181606286,64
1717181606388,72
1717181606486,73
1717181606587,69
1717181606684,61
1717181606785,54
1717181606889,46
1717181606986,41
1717181607086,38
1717181607191,38
1717181607286,41
1717181607387,48
1717181607487,56
1717181607586,60
1717181607687,60
1717181607787,55
1717181607887,49
1717181607987,43
1717181608087,36
1717181608186,31
1717181608288,28
1717181608387,29
1717181608489,35
1717181608584,44
1717181608688,56
1717181608788,66
1717181608887,74
1717181608986,74
1717181609087,66
1717181609187,55
1717181609288,45
1717181609388,40
1717181609487,41
1717181609585,45
1717181609688,54
1717181609787,63
1717181609888,62
1717181609987,56
1717181610087,48
1717181610186,41
1717181610286,33
1717181610386,28
1717181610486,27
1717181610588,32
1717181610687,42
1717181610787,53
1717181610888,64
1717181610987,72
1717181611086,73
1717181611189,65
1717181611288,56
